scholarship_id,to_pay,to_pay_currency,budget,budget_currency,degree_id,department_id,grade_id,promotion_id,academic_year_id
1,450,$,150,$,1,,,16,
1,400,$,150,$,1,,,15,
1,400,$,150,$,1,,,14,
1,250,$,250,$,1,,,13,
1,225,$,225,$,1,,,12,
1,200,$,100,$,3,,,3,
1,200,$,100,$,3,,,2,
2,120000,៛,570,$,1,,,16,
2,120000,៛,520,$,1,,,15,
2,120000,៛,520,$,1,,,14,
2,120000,៛,470,$,1,,,13,
2,120000,៛,420,$,1,,,12,
2,120000,៛,270,$,3,,,3,
2,120000,៛,270,$,3,,,2,
3,120000,៛,570,$,1,,,16,
3,120000,៛,520,$,1,,,15,
3,120000,៛,520,$,1,,,14,
3,120000,៛,470,$,1,,,13,
3,120000,៛,420,$,1,,,12,
3,120000,៛,270,$,3,,,3,
3,120000,៛,270,$,3,,,2,
4,120000,៛,570,$,1,,,16,
4,120000,៛,520,$,1,,,15,
4,120000,៛,520,$,1,,,14,
4,120000,៛,470,$,1,,,13,
4,120000,៛,420,$,1,,,12,
4,120000,៛,270,$,3,,,3,
4,120000,៛,270,$,3,,,2,
5,120000,៛,570,$,1,,,16,
5,120000,៛,520,$,1,,,15,
5,120000,៛,520,$,1,,,14,
5,120000,៛,470,$,1,,,13,
5,120000,៛,420,$,1,,,12,
5,120000,៛,270,$,3,,,3,
5,120000,៛,270,$,3,,,2,
