code,origin,name
5010,ITC,Indermnités enseignants de français
5010,ITC,Indermnités autres enseingnants
5030,ITC,Indermnités ATOS
5050,ITC,Staff- insurance & Visa
5060,ITC,Salary- tax
5081,ITC,Sickness
5082,ITC,Retirement ( 2persons)
5083,ITC,Workers Compensation
5084,ITC,Death
5110,ITC,Bourses de mérite
5120,ITC,Bourses sociales
5145,ITC,Scholarships(10,1%)
5210,ITC,Missions administration - domestic ? (ជួលរថយន្ត ទិញសំបុត្ររថន្តក្រុង បំពេញបេសកម្ម...)
5220,ITC,Missions administration - international
5230,ITC,Missions academic - domestic (ជួលរថយន្ត និងបំពេញបេសកម្ម)
5240,ITC,Missions academic - international ? ​(ពន្យាសំបុត្រយន្តហោះ សំបុត្ររថយន្តក្រុង ប្រាក់បេសកកម្ម....)
5330,ITC,IT Equipment
5335,ITC,Software
5360,ITC,Infrastructure (Mobilier) Equipment
5510,ITC,Cambodge soir
5511,ITC,Cambodia Daily
5520,ITC,Reference Books
5560,ITC,Printing
5610,ITC,Maintenance Land & Buildings
5620,ITC,Maintenance Electrical
5630,ITC,Maintenance Equipment (Generator, air con ...)
5640,ITC,Maintenance IT Equipment
5650,ITC,Maintenance Other
5710,ITC,Fuel and Parking fees, road tolls
5720,ITC,Repairs
5730,ITC,Registration
5740,ITC,Insurance
5750,ITC,Parking fees, road tolls
5760,ITC,Depreciation
5810,ITC,Office supplies
5815,ITC,Fuel - generator
5820,ITC,Poste et telecom-internet
5825,ITC,National & International relations
5826,ITC,Social relation
5838,ITC,Media expenses (Advertising, exhibition...)
5840,ITC,Frai Bancaires
5860,ITC,Ceremony graduation
5865,ITC,Ceremony other
5867,ITC,Laboratory consumables (Matériel labos, Recherche)
5870,ITC,Final Examination Expenses
5875,ITC,Other
5880,ITC,Manifestation scientifique et coopération régional
5885,ITC,Formation du Master
5910,ITC,Curriculum Committee (Consortium)
5920,ITC,Administration Board (CA)
6201,ITC,Imprévus
9999,ITC,Unidentified
