scholarship_id,to_pay,to_pay_currency,degree_id,department_id,grade_id,promotion_id,academic_year_id
1,450,$,1,all,all,16,
1,400,$,1,all,all,15,
1,400,$,1,all,all,14,
1,250,$,1,all,all,13,
1,225,$,1,all,all,12,
1,200,$,3,all,all,3,
1,200,$,3,all,all,2,
2,120000,៛,1,all,all,16,
2,120000,៛,1,all,all,15,
2,120000,៛,1,all,all,14,
2,120000,៛,1,all,all,13,
2,120000,៛,1,all,all,12,
2,120000,៛,3,all,all,3,
2,120000,៛,3,all,all,2,
3,120000,៛,1,all,all,16,
3,120000,៛,1,all,all,15,
3,120000,៛,1,all,all,14,
3,120000,៛,1,all,all,13,
3,120000,៛,1,all,all,12,
3,120000,៛,3,all,all,3,
3,120000,៛,3,all,all,2,
4,120000,៛,1,all,all,16,
4,120000,៛,1,all,all,15,
4,120000,៛,1,all,all,14,
4,120000,៛,1,all,all,13,
4,120000,៛,1,all,all,12,
4,120000,៛,3,all,all,3,
4,120000,៛,3,all,all,2,
5,120000,៛,1,all,all,16,
5,120000,៛,1,all,all,15,
5,120000,៛,1,all,all,14,
5,120000,៛,1,all,all,13,
5,120000,៛,1,all,all,12,
5,120000,៛,3,all,all,3,
5,120000,៛,3,all,all,2,
