id_card,to_pay,pay_1_no,pay_1,pay_2_no,pay_2,pay_3_no,pay_3,sport_no,sport
,250,,,,,,,,
,200,,,,,,,,
e20100036,450,5671,450,,,,,,
e20100009,450,2853,450,,,,,,
e20100182,450,2889,450,,,,,,
e20100311,450,3258,200,5620,250,,,,
e20110755,225,2271,100,4457,125,,,e20110755,
e20100581,450,1357,450,,,,,,
e20100436,450,3476,200,5089,250,,,,
e2009304,225,,,,,,,e2009304,
e20111059,0,,,,,,,,
e20100129,450,1317,450,,,,,,
e20100317,225,2466,100,5630,125,,,,
e2009429,450,2776,100,5689,350,,,,
e20100260,450,4015,450,,,,,,
e20100264,450,3265,200,5483,250,,,,
e2009031,450,3150,150,5476,300,,,,
e20100496,450,2206,225,3761,225,,,,
e20100458,450,3324,450,,,,,,
e20100320,450,2680,220,5631,230,,,,
e20100308,450,1505,450,,,,,,
e20100078,450,3456,250,5575,200,,,,
e20100654,450,1424,250,3304,200,,,,
e2009594,450,,,,,,,,
,450,,,,,,,,
e20100225,450,2020,225,3705,225,,,,
e20100476,225,1528,150,3647,75,,,,
e20121238,450,2693,225,5448,225,,,,
e20140989,,,,,,,,,
,0,1476,100,,,,,,
e20100015,450,1124,200,5363,250,,,,
e20100272,450,5708,450,,,,,,
e20100138,450,5360,75,5360,375,,,,
e20100722,450,2607,150,4819,300,,,,
e20100144,450,2278,225,4718,225,,,,
e20100867,225,1271,225,,,,,,
e20100483,0,,,,,,,,
e2009448,225,,,,,,,,
e20100589,225,3179,225,,,,,,
e2009248,450,66,450,,,,,,
e20100131,450,1744,225,5538,225,,,,
e20121228,0,,,,,,,e20121228,
e20100012,450,2382,450,,,,,,
e20100567,0,,,,,,,,
e20100373,450,178,225,5253,225,,,,
e20130999,300,2472,300,,,,,,
e20120270,500,3080,250,5281,100,,,,
,,,,,,,,,
e20100146,0,,,,,,,,
e20131211,500,,,,,,,,
e20100513,450,2151,225,5688,225,,,,
e20110585,0,,,,,,,e20110585,
e20110413,450,1421,450,,,,,e20110413,
e2009603,450,,,,,,,,
e20111043,200,,,,,,,,
,300,,,,,,,,
,450,3343,200,5144,250,,,,
e20100201,450,3004,200,5714,250,,,,
e20100102,450,,,,,,,,
e20110161,0,,,,,,,e20110161,
e20121235,450,1405,450,,,,,,
e20110002,450,3131,450,,,,,e20110002,
e2009196,450,5628,450,,,,,,
e2009679,450,1816,200,4668,250,,,,
e20100299,450,3461,200,5439,250,,,,
e20100536,450,1294,450,,,,,,
e20110194,225,2096,100,5611,125,,,e20110194,
,450,4547,200,,,,,e2009414,
e20100047,450,2325,250,5656,200,,,,
e20120379,0,,,,,,,,
e20100016,450,2383,200,4764,250,,,,
e20100631,225,2623,100,5112,125,,,,
e20120532,550,3145,550,,,,,,
