id_card,academic_year_id,to_pay,pay_1_no,pay_1,pay_2_no,pay_2,pay_3_no,pay_3,sport_no,sport
e20121075,2014,250,,,,,,,,
e2009552,2014,450,3233,200,5331,250,,,,
e20101040,2014,200,,,,,,,,
e20100036,2014,450,5671,450,,,,,,
e20100009,2014,450,3307,220,2853,230,,,,
e20111083,2014,450,3336,200,5952,250,,,,
e2009295,2014,450,2367,400,5882,50,,,,
e2009365,2014,450,2369,450,,,,,,
e2008241,2014,450,2665,450,,,,,,
e2009535,2014,450,2610,225,3076,225,,,,
e2009542,2014,450,3000,450,,,,,,
e20100182,2014,450,2261,225,3996,225,,,,
e2009052,2014,450,2634,250,4894,200,,,,
e20100311,2014,450,2398,150,,,,,,
e2009175,2014,450,2648,225,5705,225,,,,
e2009151,2014,450,2217,450,,,,,,
e2009226,2014,225,3471,155,5878,70,,,,
e2009089,2014,0,,,,,,,,
e2009210,2014,450,3212,200,5488,250,,,,
e2009612,2014,450,2039,450,,,,,,
e20110755,2014,225,2580,120,3857,105,,,,
e20100581,2014,450,1658,450,,,,,,
e2009345,2014,450,2751,200,5474,250,,,,
e20100436,2014,450,5760,450,,,,,,
e2009304,2014,225,,,,,,,,
e2009300,2014,0,,,,,,,,
e20111059,2014,0,,,,,,,,
e2009445,2014,450,2756,450,,,,,,
e2009037,2014,0,,,,,,,,
e20100129,2014,450,2131,450,,,,,,
e2009423,2014,0,,,,,,,,
e2009447,2014,450,3401,150,5597,300,,,,
e2009566,2014,450,3046,450,,,,,,
e20111073,2014,450,453,200,4803,250,,,,
e2009683,2014,225,3087,225,,,,,,
e2009266,2014,450,3141,200,5416,250,,,,
e2009267,2014,450,1379,200,5808,250,,,,
e20100317,2014,225,3234,100,5893,125,,,,
e2009018,2014,450,1936,230,5269,220,,,,
e2009245,2014,450,3142,200,5270,250,,,,
e2009429,2014,450,5502,450,,,,,,
e20111077,2014,225,2577,112.5,3974,112.5,,,,
e2009484,2014,450,1889,225,5860,225,,,,
e20100260,2014,450,5858,450,,,,,,
e20100264,2014,450,5868,450,,,,,,
e2009604,2014,0,,,,,,,,
