id,name_kh,name_en,name_fr,code,time_tp,time_td,time_course,credit,degree_id,grade_id,department_id,semester_id
1,S1-Algorithme et Programmation,S1-Algorithme et Programmation,S1-Algorithme et Programmation,S1-Algorithme et Programmation,2,2,2,3.5,1,3,4,1
2,S1-Architecture des Ordinateur,S1-Architecture des Ordinateur,S1-Architecture des Ordinateur,S1-Architecture des Ordinateur,2,2,2,1,1,3,4,1
3,S1-Analyse et Conception du SI,S1-Analyse et Conception du SI,S1-Analyse et Conception du SI,S1-Analyse et Conception du SI,2,2,2,2,1,3,4,1
4,S2-Introduction aux SI et Réseaux,S2-Introduction aux SI et Réseaux,S2-Introduction aux SI et Réseaux,S2-Introduction aux SI et Réseaux,2,2,2,2,1,3,4,1
5,S1-Logique Combinatoire et Séquentielle,S1-Logique Combinatoire et Séquentielle,S1-Logique Combinatoire et Séquentielle,S1-Logique Combinatoire et Séquentielle,2,2,2,3,1,3,4,1
6,S1-Electronique,S1-Electronique,S1-Electronique,S1-Electronique,2,2,2,1,1,3,4,1
7,S1-Math Discrète,S1-Math Discrète,S1-Math Discrète,S1-Math Discrète,2,2,2,2,1,3,4,1
8,S1-Statistique,S1-Statistique,S1-Statistique,S1-Statistique,2,2,2,2,1,3,4,1
9,S1-Anglais,S1-Anglais,S1-Anglais,S1-Anglais,2,2,2,1,1,3,4,1
10,S1-Français,S1-Français,S1-Français,S1-Français,2,2,2,2,1,3,4,1
11,S2-Algorithme et Programmation,S2-Algorithme et Programmation,S2-Algorithme et Programmation,S2-Algorithme et Programmation,2,2,2,2.5,1,3,4,1
12,S2-Architecture des Ordinateur,S2-Architecture des Ordinateur,S2-Architecture des Ordinateur,S2-Architecture des Ordinateur,2,2,2,2,1,3,4,1
13,S2-Base de Données,S2-Base de Données,S2-Base de Données,S2-Base de Données,2,2,2,2,1,3,4,1
14,S2-Informatique Théorique,S2-Informatique Théorique,S2-Informatique Théorique,S2-Informatique Théorique,2,2,2,2,1,3,4,1
15,S2-Automate,S2-Automate,S2-Automate,S2-Automate,2,2,2,2,1,3,4,1
16,S2-MATLAB,S2-MATLAB,S2-MATLAB,S2-MATLAB,2,2,2,1.5,1,3,4,1
17,S2-Anglais,S2-Anglais,S2-Anglais,S2-Anglais,2,2,2,2,1,3,4,1
18,S2-Français,S2-Français,S2-Français,S2-Français,2,2,2,1,1,3,4,1
19,S1-Génie Logicie,S1-Génie Logicie,S1-Génie Logicie,S1-Génie Logicie,2,2,2,2.5,1,4,4,1
20,S1-Programmation C/C++,S1-Programmation C/C++,S1-Programmation C/C++,S1-Programmation C/C++,2,2,2,2,1,4,4,1
21,S1-Programmation Internet,S1-Programmation Internet,S1-Programmation Internet,S1-Programmation Internet,2,2,2,2,1,4,4,1
22,S1-Réseaux,S1-Réseaux,S1-Réseaux,S1-Réseaux,2,2,2,1.5,1,4,4,1
23,S1-Système d'Exploitation,S1-Système d'Exploitation,S1-Système d'Exploitation,S1-Système d'Exploitation,2,2,2,2,1,4,4,1
