id,name_en,province_id,d_id,c_id,v_id,s_id,ps_id,name_kh,prefix_id,valid,is_no_school,locp_code,locd_code,locc_code,locv_code
"010000000022","Private",1,0,0,0,2,0,"ស្វៃរិន",13,1,1,1,100,10000,100000000
"010000000033","Continue Education",1,0,0,0,3,0,"បំពេញវិជ្ជា",13,1,1,1,100,10000,100000000
"010000000044","Private Continue Education",1,0,0,0,4,0,"ស្វៃរិន បំពេញវិជ្ជា",13,1,1,1,100,10000,100000000
"010101010058","DoEYSBanteaymeanchey",1,6,1,1,8,0,"មន្ទីរ អយក ខេត្ត",13,1,1,1,106,10601,106060101
"010201010051","O Thom",1,2,1,1,5,0,"O Thom",2,1,0,1,102,10201,102020101
"010201010077","Mongkol Borei",1,2,1,1,7,0,"ការិ. អយក ស្រុកមង្គលបូរី",13,1,1,1,102,10201,102020101
"010201030011","Banteay Neang",1,2,1,3,1,0,"Banteay Neang",2,1,0,1,102,10201,102020103
"010201035061","Banteay Neang",1,2,1,3,506,0,"Banteay Neang",1,1,0,1,102,10201,102020103
"010201050081","Trang",1,2,1,5,8,0,"Trang",2,1,0,1,102,10201,102020105
"010201060061","Pongror",1,2,1,6,6,0,"Pongror",2,1,0,1,102,10201,102020106
"010201070841","Kauk Tunloap",1,2,1,7,84,0,"Kauk Tunloap",2,1,0,1,102,10201,102020107
"010201075351","Kauk Tunloap",1,2,1,7,535,0,"Kauk Tunloap",1,1,0,1,102,10201,102020107
"010201090031","Khilek",1,2,1,9,3,0,"Khilek",2,1,0,1,102,10201,102020109
"010201095431","Khilek",1,2,1,9,543,0,"Khilek",1,1,0,1,102,10201,102020109
"010201097101","Khilek",1,2,1,9,710,0,"ឃីឡិក",3,1,0,1,102,10201,102020109
"010201120021","Dang Run",1,2,1,12,2,0,"Dang Run",2,1,0,1,102,10201,102020112
"010201125361","Dang Run",1,2,1,12,536,0,"Dang Run",1,1,0,1,102,10201,102020112
"010201150071","Prey Changhar",1,2,1,15,7,0,"Prey Changhar",2,1,0,1,102,10201,102020115
"010201180041","O Andaung",1,2,1,18,4,0,"O Andaung",2,1,0,1,102,10201,102020118
"010202030091","Anlung Thngann",1,2,2,3,9,0,"Anlung Thngann",2,1,0,1,102,10202,102020203
"010202035271","Anlung Thngann",1,2,2,3,527,0,"Anlung Thngann",1,1,0,1,102,10202,102020203
"010202037081","Bat Trang",1,2,2,3,708,0,"បត់ត្រង់",3,1,0,1,102,10202,102020203
"010202090101","Bat Trang",1,2,2,9,10,0,"Bat Trang",2,1,0,1,102,10202,102020209
"010202095381","Bat Trang",1,2,2,9,538,0,"Bat Trang",1,1,0,1,102,10202,102020209
"010203030781","Samaki",1,2,3,3,78,0,"Samaki",2,1,0,1,102,10203,102020303
"010203050121","Chamnom",1,2,3,5,12,0,"Chamnom",2,1,0,1,102,10203,102020305
"010203055131","Chamnom",1,2,3,5,513,0,"Chamnom",1,1,0,1,102,10203,102020305
"010203090161","Raung Ko",1,2,3,9,16,0,"Raung Ko",2,1,0,1,102,10203,102020309
"010203099041","Raung Ko",1,2,3,9,904,0,"រោងគោ",4,1,0,1,102,10203,102020309
"010203110131","Chor Khchas",1,2,3,11,13,0,"Chor Khchas",2,1,0,1,102,10203,102020311
"010203120111","Boeung Troh",1,2,3,12,11,0,"Boeung Troh",2,1,0,1,102,10203,102020312
"010203130141","Dang Trong",1,2,3,13,14,0,"Dang Trong",2,1,0,1,102,10203,102020313
"010203170151","Kauk Ponley",1,2,3,17,15,0,"Kauk Ponley",2,1,0,1,102,10203,102020317
"010203180801","Say Samon",1,2,3,18,80,0,"Say Samon",2,1,0,1,102,10203,102020318
"010204020191","Ta An",1,2,4,2,19,0,"Ta An",2,1,0,1,102,10204,102020402
"010204037091","Ta On",1,2,4,3,709,0,"តាអន",3,1,0,1,102,10204,102020403
"010204040181","Cheung Chab",1,2,4,4,18,0,"Cheung Chab",2,1,0,1,102,10204,102020404
"010204060171","Char Thmei",1,2,4,6,17,0,"Char Thmei",2,1,0,1,102,10204,102020406
"010204080201","Ta Sal",1,2,4,8,20,0,"Ta Sal",2,1,0,1,102,10204,102020408
"010205010221","Koy Meng",1,2,5,1,22,0,"Koy Meng",2,1,0,1,102,10205,102020501
"010205015071","Koy Meng",1,2,5,1,507,0,"Koy Meng",1,1,0,1,102,10205,102020501
"010205017061","Koy Meng",1,2,5,1,706,0,"គយម៉ែង",3,1,0,1,102,10205,102020501
"010205030231","Phlov Siem",1,2,5,3,23,0,"Phlov Siem",2,1,0,1,102,10205,102020503
"010205035081","Phlov Siem",1,2,5,3,508,0,"Phlov Siem",1,1,0,1,102,10205,102020503
