building_id,name,room_type_id,department_id,nb_desk,nb_chair_exam,nb_chair,size,is_exam_room,description
1,101,2,2,,,,,0,
1,102,2,2,,,,,0,
1,103,2,2,,,,,0,
1,104,2,2,,,,,0,
1,105,5,,,,,,0,
1,106,5,,,,,,0,
1,107,6,,,,,,0,
1,108,7,,,27,55,big,1,
1,109,7,,,56,,big,1,
1,110,8,,,,,,0,
1,111,8,,,,,,0,
1,112,9,,,,,,0,
1,113,10,,,27,,,1,
1,201,3,2,,,,,0,
1,202,3,2,,,,,0,
1,203,11,2,,,,,0,
1,204,1,,,27,55,big,1,
1,205,1,,,27,55,big,1,
1,206,11,,,,,,0,
1,207,3,6,,,,,0,
1,208,3,,,,,,0,
1,209,12,,,,,,0,
1,210,13,,,,,,0,
1,211,13,,,,,,0,
1,212,13,,,,,,0,
1,213,15,,,,,,0,
1,214,22,,,,,,0,
1,215,13,,,,,,0,
1,216,14,,,,,,0,
1,217,23,,,,,,0,
1,218,21,,,,,,0,
1,219,24,,,,,,0,
1,220,24,,,,,,0,
1,WC,25,,,,,,0,
1,221,21,,,,,,0,
1,222,24,,,,,,0,
1,223,16,,,,,,0,
1,224,7,,,,,,0,
1,301,1,,,27,55,big,1,
1,302,1,,,27,55,big,1,
1,303,1,,,27,55,big,1,
1,304,1,,,27,55,big,1,
1,305,1,,,27,55,big,1,
1,306,1,,,27,55,big,1,
1,307,1,,,27,55,big,1,
1,308,1,,,13,27,Small,1,
1,309,1,,,27,55,big,1,
1,310,3,,,13,27,,1,
1,311,1,,,27,55,big,1,
1,312,1,,,27,55,big,1,
1,313,3,,,,,,0,
1,314,1,,,,,,0,
1,315,4,,,27,55,big,1,
1,316,26,,,56,150,big,1,
1,317,4,,,56,150,big,1,
1,318,26,,,27,55,big,1,
1,401,27,,,,,big,0,
1,402,3,,,,,,0,
1,403,28,,,,,,0,
1,404,28,,,,,,0,
1,405,17,,,,,,0,
1,406,8,,,,,,0,
1,407,8,,,,,,0,
1,408,27,,,27,55,big,1,
1,409,3,,,,,,0,
1,410,3,,,,,,0,
1,411,8,,,,,small,0,
1,412,1,,,27,55,big,1,
1,413,1,,,13,27,small,1,
1,414,1,,,14,27,small,1,
1,415,1,,,13,27,small,1,
1,416,1,,,14,27,small,1,
1,417,1,,,13,27,small,1,
1,418,1,,,14,27,small,1,
1,419,1,,,13,27,small,1,
1,420,1,,,27,55,big,1,
2,101,29,,,,,,0,
2,102,29,,,,,,0,
2,103,29,,,,,,0,
